date,region,product,revenue,orders
2026-05-29,Central,Starter,1109.11,17
2026-05-30,East,Enterprise,8152.12,3
2026-05-30,East,Team,2576.4,12
2026-05-30,East,Starter,1080.31,17
2026-05-30,West,Enterprise,6506.85,3
2026-05-30,West,Team,1607.31,8
2026-05-30,West,Starter,818.48,15
2026-05-30,Central,Enterprise,3963.32,2
2026-05-30,Central,Team,1218.96,7
2026-05-30,Central,Starter,498.84,12
2026-05-31,East,Enterprise,8420.87,3
2026-05-31,East,Team,3044.78,12
2026-05-31,East,Starter,1165.96,19
2026-05-31,West,Enterprise,4312.37,2
2026-05-31,West,Team,1668.19,9
2026-05-31,West,Starter,940.92,15
2026-05-31,Central,Enterprise,3867.31,2
2026-05-31,Central,Team,1120.95,7
2026-05-31,Central,Starter,703.85,14
2026-06-01,East,Enterprise,14662.06,4
2026-06-01,East,Team,3893.42,13
2026-06-01,East,Starter,2408.21,27
2026-06-01,West,Enterprise,9616.39,3
2026-06-01,West,Team,3036.41,11
2026-06-01,West,Starter,1634.72,20
2026-06-01,Central,Enterprise,5336.71,2
2026-06-01,Central,Team,1831.75,9
2026-06-01,Central,Starter,1074.75,17
2026-06-02,East,Enterprise,10529.62,3
2026-06-02,East,Team,5448.84,17
2026-06-02,East,Starter,2528.08,26
2026-06-02,West,Enterprise,10075.37,3
2026-06-02,West,Team,4148.86,13
2026-06-02,West,Starter,1723.0,20
2026-06-02,Central,Enterprise,5174.93,2
2026-06-02,Central,Team,2480.47,11
2026-06-02,Central,Starter,1179.65,17
2026-06-03,East,Enterprise,16207.81,4
2026-06-03,East,Team,7585.57,19
2026-06-03,East,Starter,2310.98,24
2026-06-03,West,Enterprise,11582.88,3
2026-06-03,West,Team,5436.58,16
2026-06-03,West,Starter,1903.17,23
2026-06-03,Central,Enterprise,8874.52,3
2026-06-03,Central,Team,3327.42,12
2026-06-03,Central,Starter,1281.33,20
2026-06-04,East,Enterprise,13544.33,4
2026-06-04,East,Team,5116.4,15
2026-06-04,East,Starter,1709.56,21
2026-06-04,West,Enterprise,9300.46,3
2026-06-04,West,Team,3062.22,11
2026-06-04,West,Starter,1587.11,22
2026-06-04,Central,Enterprise,7014.49,3
2026-06-04,Central,Team,2358.17,10
2026-06-04,Central,Starter,1014.26,18
2026-06-05,East,Enterprise,14580.05,4
2026-06-05,East,Team,4648.0,13
2026-06-05,East,Starter,2361.95,26
2026-06-05,West,Enterprise,13408.21,4
2026-06-05,West,Team,3457.88,13
2026-06-05,West,Starter,1696.69,19
2026-06-05,Central,Enterprise,8035.23,3
2026-06-05,Central,Team,2877.87,12
2026-06-05,Central,Starter,982.58,16
2026-06-06,East,Enterprise,8595.66,3
2026-06-06,East,Team,3034.57,12
2026-06-06,East,Starter,1249.81,20
2026-06-06,West,Enterprise,4248.15,2
2026-06-06,West,Team,2208.57,10
2026-06-06,West,Starter,886.15,15
2026-06-06,Central,Enterprise,4009.21,2
2026-06-06,Central,Team,1437.66,8
2026-06-06,Central,Starter,645.68,13
2026-06-07,East,Enterprise,5566.18,2
2026-06-07,East,Team,2565.63,10
2026-06-07,East,Starter,1354.15,19
2026-06-07,West,Enterprise,6608.94,3
2026-06-07,West,Team,1893.01,10
2026-06-07,West,Starter,1052.5,17
2026-06-07,Central,Enterprise,3931.3,2
2026-06-07,Central,Team,1105.42,7
2026-06-07,Central,Starter,568.06,13
2026-06-08,East,Enterprise,9991.65,3
2026-06-08,East,Team,4399.08,13
2026-06-08,East,Starter,2289.31,27
2026-06-08,West,Enterprise,9070.77,3
2026-06-08,West,Team,3867.55,14
2026-06-08,West,Starter,1637.67,23
2026-06-08,Central,Enterprise,6929.15,3
2026-06-08,Central,Team,2300.34,11
2026-06-08,Central,Starter,913.54,15
2026-06-09,East,Enterprise,14779.07,4
2026-06-09,East,Team,5470.65,16
2026-06-09,East,Starter,2435.35,25
2026-06-09,West,Enterprise,10429.65,3
2026-06-09,West,Team,3540.77,11
2026-06-09,West,Starter,2003.1,23
2026-06-09,Central,Enterprise,8282.6,3
2026-06-09,Central,Team,2169.02,10
2026-06-09,Central,Starter,1225.07,19
2026-06-10,East,Enterprise,17661.56,4
2026-06-10,East,Team,6341.13,18
2026-06-10,East,Starter,2634.08,26
2026-06-10,West,Enterprise,10328.75,3
2026-06-10,West,Team,4082.01,13
2026-06-10,West,Starter,2508.92,27
2026-06-10,Central,Enterprise,8814.12,3
2026-06-10,Central,Team,2834.8,11
2026-06-10,Central,Starter,1099.72,16
2026-06-11,East,Enterprise,10862.58,3
2026-06-11,East,Team,4718.53,15
2026-06-11,East,Starter,1931.88,23
2026-06-11,West,Enterprise,10042.96,3
2026-06-11,West,Team,3344.5,13
2026-06-11,West,Starter,1398.86,18
2026-06-11,Central,Enterprise,7192.44,3
2026-06-11,Central,Team,2545.86,11
2026-06-11,Central,Starter,995.63,17
2026-06-12,East,Enterprise,13951.69,4
2026-06-12,East,Team,4772.92,14
2026-06-12,East,Starter,2467.67,28
2026-06-12,West,Enterprise,10316.31,3
2026-06-12,West,Team,3715.63,12
2026-06-12,West,Starter,1749.09,22
2026-06-12,Central,Enterprise,7248.77,3
2026-06-12,Central,Team,3014.66,12
2026-06-12,Central,Starter,1056.51,16
2026-06-13,East,Enterprise,5852.36,2
2026-06-13,East,Team,2385.3,11
2026-06-13,East,Starter,1218.65,17
2026-06-13,West,Enterprise,4943.04,2
2026-06-13,West,Team,2274.18,10
2026-06-13,West,Starter,1016.32,16
2026-06-13,Central,Enterprise,3813.63,2
2026-06-13,Central,Team,1327.35,8
2026-06-13,Central,Starter,658.93,14
2026-06-14,East,Enterprise,8446.05,3
2026-06-14,East,Team,2498.46,11
2026-06-14,East,Starter,1172.34,17
2026-06-14,West,Enterprise,7032.96,3
2026-06-14,West,Team,1981.46,10
2026-06-14,West,Starter,782.02,14
2026-06-14,Central,Enterprise,3600.32,2
2026-06-14,Central,Team,1231.95,8
2026-06-14,Central,Starter,533.48,11
2026-06-15,East,Enterprise,13088.57,4
2026-06-15,East,Team,4498.79,14
2026-06-15,East,Starter,1940.27,23
2026-06-15,West,Enterprise,10108.13,3
2026-06-15,West,Team,3742.72,13
2026-06-15,West,Starter,1887.48,23
2026-06-15,Central,Enterprise,4494.36,2
2026-06-15,Central,Team,2328.9,10
2026-06-15,Central,Starter,1223.88,18
2026-06-16,East,Enterprise,16275.29,4
2026-06-16,East,Team,5627.68,16
2026-06-16,East,Starter,2195.61,24
2026-06-16,West,Enterprise,9161.0,3
2026-06-16,West,Team,4035.21,13
2026-06-16,West,Starter,1729.96,22
2026-06-16,Central,Enterprise,7488.36,3
2026-06-16,Central,Team,2387.56,11
2026-06-16,Central,Starter,1160.98,17
2026-06-17,East,Enterprise,17156.56,4
2026-06-17,East,Team,5517.52,15
2026-06-17,East,Starter,2441.55,24
2026-06-17,West,Enterprise,10501.75,3
2026-06-17,West,Team,5032.53,16
2026-06-17,West,Starter,2513.47,26
2026-06-17,Central,Enterprise,7975.07,3
2026-06-17,Central,Team,2598.93,10
2026-06-17,Central,Starter,1547.63,22
2026-06-18,East,Enterprise,15210.27,4
2026-06-18,East,Team,5044.17,15
2026-06-18,East,Starter,2283.94,27
2026-06-18,West,Enterprise,8738.57,3
2026-06-18,West,Team,3164.67,11
2026-06-18,West,Starter,1550.81,21
2026-06-18,Central,Enterprise,7914.25,3
2026-06-18,Central,Team,2046.49,9
2026-06-18,Central,Starter,1040.1,18
2026-06-19,East,Enterprise,17022.26,4
2026-06-19,East,Team,4385.8,14
2026-06-19,East,Starter,2419.07,24
2026-06-19,West,Enterprise,13263.27,4
2026-06-19,West,Team,3856.14,14
2026-06-19,West,Starter,2083.18,24
2026-06-19,Central,Enterprise,5712.5,2
2026-06-19,Central,Team,2947.24,12
2026-06-19,Central,Starter,1188.3,16
2026-06-20,East,Enterprise,7875.21,3
2026-06-20,East,Team,2579.11,11
2026-06-20,East,Starter,1179.83,18
2026-06-20,West,Enterprise,7519.26,3
2026-06-20,West,Team,1828.71,8
2026-06-20,West,Starter,1003.77,16
2026-06-20,Central,Enterprise,3718.79,2
2026-06-20,Central,Team,1464.22,8
2026-06-20,Central,Starter,599.94,12
2026-06-21,East,Enterprise,8108.25,3
2026-06-21,East,Team,2773.95,11
2026-06-21,East,Starter,1233.54,17
2026-06-21,West,Enterprise,6489.21,3
2026-06-21,West,Team,2187.49,11
2026-06-21,West,Starter,964.01,16
2026-06-21,Central,Enterprise,3417.18,2
2026-06-21,Central,Team,1256.08,8
2026-06-21,Central,Starter,549.66,11
2026-06-22,East,Enterprise,11688.56,3
2026-06-22,East,Team,4611.68,15
2026-06-22,East,Starter,2071.25,21
2026-06-22,West,Enterprise,9861.24,3
2026-06-22,West,Team,3826.12,13
2026-06-22,West,Starter,1782.21,22
2026-06-22,Central,Enterprise,7999.1,3
2026-06-22,Central,Team,1902.84,9
2026-06-22,Central,Starter,1089.53,18
2026-06-23,East,Enterprise,15580.33,4
2026-06-23,East,Team,5486.48,16
2026-06-23,East,Starter,2648.45,28
2026-06-23,West,Enterprise,12996.89,4
2026-06-23,West,Team,3636.4,13
2026-06-23,West,Starter,1651.72,21
2026-06-23,Central,Enterprise,8601.13,3
2026-06-23,Central,Team,2284.15,10
2026-06-23,Central,Starter,1280.95,18
2026-06-24,East,Enterprise,21164.3,5
2026-06-24,East,Team,5511.94,16
2026-06-24,East,Starter,2588.65,26
2026-06-24,West,Enterprise,9920.38,3
2026-06-24,West,Team,4663.17,15
2026-06-24,West,Starter,2591.25,28
2026-06-24,Central,Enterprise,8133.44,3
2026-06-24,Central,Team,3379.79,13
2026-06-24,Central,Starter,1635.46,22
2026-06-25,East,Enterprise,14372.02,4
2026-06-25,East,Team,3824.93,13
2026-06-25,East,Starter,2443.57,27
2026-06-25,West,Enterprise,9297.62,3
2026-06-25,West,Team,3171.78,11
2026-06-25,West,Starter,1323.07,18
2026-06-25,Central,Enterprise,7291.07,3
2026-06-25,Central,Team,2492.34,12
2026-06-25,Central,Starter,1162.52,18
2026-06-26,East,Enterprise,14868.12,4
2026-06-26,East,Team,5537.95,16
2026-06-26,East,Starter,2740.46,26
2026-06-26,West,Enterprise,13146.83,4
2026-06-26,West,Team,4349.09,14
2026-06-26,West,Starter,2235.57,24
2026-06-26,Central,Enterprise,5155.47,2
2026-06-26,Central,Team,2491.58,11
2026-06-26,Central,Starter,1001.34,16
2026-06-27,East,Enterprise,5415.83,2
2026-06-27,East,Team,2562.57,11
2026-06-27,East,Starter,1210.48,17
2026-06-27,West,Enterprise,7069.16,3
2026-06-27,West,Team,2293.23,10
2026-06-27,West,Starter,1036.04,17
2026-06-27,Central,Enterprise,4135.24,2
2026-06-27,Central,Team,1194.39,7
2026-06-27,Central,Starter,668.85,13
2026-06-28,East,Enterprise,7512.29,3
2026-06-28,East,Team,2340.87,10
2026-06-28,East,Starter,1388.39,20
2026-06-28,West,Enterprise,4405.39,2
2026-06-28,West,Team,2201.57,10
2026-06-28,West,Starter,1071.83,18
2026-06-28,Central,Enterprise,3490.85,2
2026-06-28,Central,Team,1169.4,7
2026-06-28,Central,Starter,543.05,12
2026-06-29,East,Enterprise,11984.53,3
2026-06-29,East,Team,5279.29,16
2026-06-29,East,Starter,2815.67,28
2026-06-29,West,Enterprise,9100.23,3
2026-06-29,West,Team,3268.7,11
2026-06-29,West,Starter,1720.09,21
2026-06-29,Central,Enterprise,7145.83,3
2026-06-29,Central,Team,2322.29,10
2026-06-29,Central,Starter,992.81,17
2026-06-30,East,Enterprise,15293.16,4
2026-06-30,East,Team,6404.28,17
2026-06-30,East,Starter,2567.72,25
2026-06-30,West,Enterprise,11236.46,3
2026-06-30,West,Team,4631.63,15
2026-06-30,West,Starter,1904.21,23
2026-06-30,Central,Enterprise,9030.43,3
2026-06-30,Central,Team,2698.12,11
2026-06-30,Central,Starter,1490.04,21
2026-07-01,East,Enterprise,16721.26,4
2026-07-01,East,Team,5515.37,15
2026-07-01,East,Starter,3379.64,31
2026-07-01,West,Enterprise,13919.67,4
2026-07-01,West,Team,5354.2,15
2026-07-01,West,Starter,2307.55,24
2026-07-01,Central,Enterprise,9718.31,3
2026-07-01,Central,Team,2992.09,12
2026-07-01,Central,Starter,1345.27,18
2026-07-02,East,Enterprise,13494.94,4
2026-07-02,East,Team,6007.91,17
2026-07-02,East,Starter,2034.93,24
2026-07-02,West,Enterprise,12769.85,4
2026-07-02,West,Team,3981.19,14
2026-07-02,West,Starter,1703.64,20
2026-07-02,Central,Enterprise,7271.57,3
2026-07-02,Central,Team,2218.06,10
2026-07-02,Central,Starter,1215.53,19
2026-07-03,East,Enterprise,17044.37,4
2026-07-03,East,Team,5603.06,15
2026-07-03,East,Starter,2805.97,26
2026-07-03,West,Enterprise,11025.8,3
2026-07-03,West,Team,3830.31,13
2026-07-03,West,Starter,2279.08,24
2026-07-03,Central,Enterprise,7706.64,3
2026-07-03,Central,Team,2617.99,11
2026-07-03,Central,Starter,1323.86,19
2026-07-04,East,Enterprise,7991.1,3
2026-07-04,East,Team,2552.23,10
2026-07-04,East,Starter,1242.11,19
2026-07-04,West,Enterprise,6547.96,3
2026-07-04,West,Team,2222.63,10
2026-07-04,West,Starter,1056.22,18
2026-07-04,Central,Enterprise,4089.53,2
2026-07-04,Central,Team,1535.76,9
2026-07-04,Central,Starter,528.65,11
2026-07-05,East,Enterprise,8911.68,3
2026-07-05,East,Team,2915.22,12
2026-07-05,East,Starter,1302.55,19
2026-07-05,West,Enterprise,7085.84,3
2026-07-05,West,Team,1990.2,10
2026-07-05,West,Starter,1052.38,16
2026-07-05,Central,Enterprise,3996.72,2
2026-07-05,Central,Team,1464.59,8
2026-07-05,Central,Starter,721.87,14
2026-07-06,East,Enterprise,14231.21,4
2026-07-06,East,Team,5525.09,16
2026-07-06,East,Starter,2261.53,27
2026-07-06,West,Enterprise,9887.23,3
2026-07-06,West,Team,4394.13,14
2026-07-06,West,Starter,1822.23,23
2026-07-06,Central,Enterprise,5275.85,2
2026-07-06,Central,Team,2483.81,11
2026-07-06,Central,Starter,1249.42,18
2026-07-07,East,Enterprise,12692.54,3
2026-07-07,East,Team,5192.38,15
2026-07-07,East,Starter,2411.5,24
2026-07-07,West,Enterprise,14705.92,4
2026-07-07,West,Team,3675.6,13
2026-07-07,West,Starter,2311.68,26
2026-07-07,Central,Enterprise,9024.13,3
2026-07-07,Central,Team,2450.7,10
2026-07-07,Central,Starter,1123.13,17
2026-07-08,East,Enterprise,18231.59,4
2026-07-08,East,Team,7513.45,19
2026-07-08,East,Starter,2759.95,26
2026-07-08,West,Enterprise,15204.84,4
2026-07-08,West,Team,5232.68,16
2026-07-08,West,Starter,2296.42,23
2026-07-08,Central,Enterprise,8759.11,3
2026-07-08,Central,Team,3020.32,12
2026-07-08,Central,Starter,1516.67,20
2026-07-09,East,Enterprise,14227.45,4
2026-07-09,East,Team,5781.69,17
2026-07-09,East,Starter,2160.65,23
2026-07-09,West,Enterprise,10148.43,3
2026-07-09,West,Team,3220.44,11
2026-07-09,West,Starter,1829.98,21
2026-07-09,Central,Enterprise,5468.42,2
2026-07-09,Central,Team,2448.16,11
2026-07-09,Central,Starter,1189.07,18
2026-07-10,East,Enterprise,16753.08,4
2026-07-10,East,Team,6471.27,17
2026-07-10,East,Starter,3034.26,28
2026-07-10,West,Enterprise,13418.31,4
2026-07-10,West,Team,4409.53,14
2026-07-10,West,Starter,2001.22,25
2026-07-10,Central,Enterprise,8785.19,3
2026-07-10,Central,Team,2297.79,10
2026-07-10,Central,Starter,1450.37,19
2026-07-11,East,Enterprise,9059.98,3
2026-07-11,East,Team,2830.66,12
2026-07-11,East,Starter,1389.6,20
2026-07-11,West,Enterprise,7635.32,3
2026-07-11,West,Team,1791.06,9
2026-07-11,West,Starter,1013.05,18
2026-07-11,Central,Enterprise,4160.33,2
2026-07-11,Central,Team,1512.29,8
2026-07-11,Central,Starter,771.98,15
2026-07-12,East,Enterprise,8866.78,3
2026-07-12,East,Team,2501.01,10
2026-07-12,East,Starter,1300.39,18
2026-07-12,West,Enterprise,7409.86,3
2026-07-12,West,Team,2584.03,11
2026-07-12,West,Starter,804.85,14
2026-07-12,Central,Enterprise,4184.84,2
2026-07-12,Central,Team,1496.52,8
2026-07-12,Central,Starter,532.01,12
2026-07-13,East,Enterprise,16139.23,4
2026-07-13,East,Team,4555.97,14
2026-07-13,East,Starter,2234.27,22
2026-07-13,West,Enterprise,9714.65,3
2026-07-13,West,Team,3416.53,11
2026-07-13,West,Starter,1526.14,19
2026-07-13,Central,Enterprise,8161.68,3
2026-07-13,Central,Team,2722.6,12
2026-07-13,Central,Starter,1147.19,19
2026-07-14,East,Enterprise,14839.74,4
2026-07-14,East,Team,5630.97,16
2026-07-14,East,Starter,2833.75,31
2026-07-14,West,Enterprise,10402.76,3
2026-07-14,West,Team,5342.77,16
2026-07-14,West,Starter,1909.71,21
2026-07-14,Central,Enterprise,9221.97,3
2026-07-14,Central,Team,2687.6,11
2026-07-14,Central,Starter,1102.37,17
2026-07-15,East,Enterprise,21494.4,5
2026-07-15,East,Team,7137.78,18
2026-07-15,East,Starter,2942.16,30
2026-07-15,West,Enterprise,14315.41,4
2026-07-15,West,Team,4415.43,13
2026-07-15,West,Starter,2184.8,22
2026-07-15,Central,Enterprise,8539.24,3
2026-07-15,Central,Team,3367.73,13
2026-07-15,Central,Starter,1466.82,18
2026-07-16,East,Enterprise,12040.26,3
2026-07-16,East,Team,4007.28,13
2026-07-16,East,Starter,2013.18,23
2026-07-16,West,Enterprise,8842.92,3
2026-07-16,West,Team,3368.8,11
2026-07-16,West,Starter,1570.86,20
2026-07-16,Central,Enterprise,4743.96,2
2026-07-16,Central,Team,2560.6,11
2026-07-16,Central,Starter,1231.59,19
2026-07-17,East,Enterprise,16243.54,4
2026-07-17,East,Team,5044.07,14
2026-07-17,East,Starter,2852.21,31
2026-07-17,West,Enterprise,15121.49,4
2026-07-17,West,Team,4346.01,14
2026-07-17,West,Starter,2168.46,27
2026-07-17,Central,Enterprise,8286.2,3
2026-07-17,Central,Team,2999.49,12
2026-07-17,Central,Starter,1353.01,21
2026-07-18,East,Enterprise,5755.0,2
2026-07-18,East,Team,2390.9,10
2026-07-18,East,Starter,1421.87,20
2026-07-18,West,Enterprise,5382.81,2
2026-07-18,West,Team,2156.85,10
2026-07-18,West,Starter,957.44,17
2026-07-18,Central,Enterprise,4195.09,2
2026-07-18,Central,Team,1468.23,8
2026-07-18,Central,Starter,646.67,14
2026-07-19,East,Enterprise,8001.68,3
2026-07-19,East,Team,2732.05,11
2026-07-19,East,Starter,1166.39,18
2026-07-19,West,Enterprise,5066.97,2
2026-07-19,West,Team,1825.7,9
2026-07-19,West,Starter,1008.08,18
2026-07-19,Central,Enterprise,3604.77,2
2026-07-19,Central,Team,1279.1,7
2026-07-19,Central,Starter,694.44,14
2026-07-20,East,Enterprise,15248.23,4
2026-07-20,East,Team,4332.12,14
2026-07-20,East,Starter,2334.12,24
2026-07-20,West,Enterprise,14062.25,4
2026-07-20,West,Team,4456.67,14
2026-07-20,West,Starter,1747.54,22
2026-07-20,Central,Enterprise,7407.29,3
2026-07-20,Central,Team,2420.12,11
2026-07-20,Central,Starter,1050.21,15
2026-07-21,East,Enterprise,17145.64,4
2026-07-21,East,Team,6532.16,17
2026-07-21,East,Starter,3344.28,30
2026-07-21,West,Enterprise,14487.04,4
2026-07-21,West,Team,4274.38,15
2026-07-21,West,Starter,2547.9,27
2026-07-21,Central,Enterprise,7955.93,3
2026-07-21,Central,Team,2906.48,12
2026-07-21,Central,Starter,1148.94,18
2026-07-22,East,Enterprise,22191.44,5
2026-07-22,East,Team,6144.87,17
2026-07-22,East,Starter,2976.77,30
2026-07-22,West,Enterprise,14367.42,4
2026-07-22,West,Team,4916.88,15
2026-07-22,West,Starter,2386.6,24
2026-07-22,Central,Enterprise,9264.84,3
2026-07-22,Central,Team,2712.79,11
2026-07-22,Central,Starter,1403.51,18
2026-07-23,East,Enterprise,14435.42,4
2026-07-23,East,Team,5362.29,16
2026-07-23,East,Starter,2256.04,25
2026-07-23,West,Enterprise,12136.19,4
2026-07-23,West,Team,3634.76,13
2026-07-23,West,Starter,1885.55,23
2026-07-23,Central,Enterprise,7173.76,3
2026-07-23,Central,Team,2384.58,10
2026-07-23,Central,Starter,947.22,15
2026-07-24,East,Enterprise,15170.38,4
2026-07-24,East,Team,5264.95,15
2026-07-24,East,Starter,2467.5,23
2026-07-24,West,Enterprise,10412.12,3
2026-07-24,West,Team,4741.45,15
2026-07-24,West,Starter,2452.88,26
2026-07-24,Central,Enterprise,6101.09,2
2026-07-24,Central,Team,2285.25,10
2026-07-24,Central,Starter,1601.64,21
2026-07-25,East,Enterprise,8656.22,3
2026-07-25,East,Team,2983.31,12
2026-07-25,East,Starter,1092.74,17
2026-07-25,West,Enterprise,5243.54,2
2026-07-25,West,Team,2343.96,10
2026-07-25,West,Starter,1077.8,19
2026-07-25,Central,Enterprise,3753.29,2
2026-07-25,Central,Team,1413.46,8
2026-07-25,Central,Starter,618.52,13
2026-07-26,East,Enterprise,8257.42,3
2026-07-26,East,Team,2536.46,10
2026-07-26,East,Starter,1212.61,17
2026-07-26,West,Enterprise,7204.6,3
2026-07-26,West,Team,2575.54,11
2026-07-26,West,Starter,1055.48,18
2026-07-26,Central,Enterprise,3721.93,2
2026-07-26,Central,Team,1481.95,8
2026-07-26,Central,Starter,648.55,14
2026-07-27,East,Enterprise,15189.71,4
2026-07-27,East,Team,5688.19,16
2026-07-27,East,Starter,2577.76,25
2026-07-27,West,Enterprise,10186.38,3
2026-07-27,West,Team,4413.85,14
2026-07-27,West,Starter,1768.25,23
2026-07-27,Central,Enterprise,5228.46,2
2026-07-27,Central,Team,2244.99,10
2026-07-27,Central,Starter,993.26,15
2026-07-28,East,Enterprise,16288.39,4
2026-07-28,East,Team,5456.15,14
2026-07-28,East,Starter,2646.7,24
2026-07-28,West,Enterprise,14630.32,4
2026-07-28,West,Team,4416.13,14
2026-07-28,West,Starter,2270.41,24
2026-07-28,Central,Enterprise,8494.55,3
2026-07-28,Central,Team,3405.57,13
2026-07-28,Central,Starter,1280.85,18
2026-07-29,East,Enterprise,16138.85,4
2026-07-29,East,Team,6791.42,16
2026-07-29,East,Starter,3228.23,28
2026-07-29,West,Enterprise,14374.29,4
2026-07-29,West,Team,4725.82,14
2026-07-29,West,Starter,2414.31,25
2026-07-29,Central,Enterprise,8994.27,3
2026-07-29,Central,Team,3221.54,12
2026-07-29,Central,Starter,1568.27,20
2026-07-30,East,Enterprise,15719.56,4
2026-07-30,East,Team,4053.5,13
2026-07-30,East,Starter,2465.52,27
2026-07-30,West,Enterprise,13693.77,4
2026-07-30,West,Team,4756.43,15
2026-07-30,West,Starter,1771.58,21
2026-07-30,Central,Enterprise,5151.67,2
2026-07-30,Central,Team,2945.08,12
2026-07-30,Central,Starter,1150.08,17
2026-07-31,East,Enterprise,19855.92,5
2026-07-31,East,Team,6214.01,16
2026-07-31,East,Starter,3201.65,30
2026-07-31,West,Enterprise,15045.43,4
2026-07-31,West,Team,4811.83,15
2026-07-31,West,Starter,2209.33,25
2026-07-31,Central,Enterprise,8379.04,3
2026-07-31,Central,Team,2406.91,10
2026-07-31,Central,Starter,1575.23,22
2026-08-01,East,Enterprise,7988.2,3
2026-08-01,East,Team,2727.64,10
2026-08-01,East,Starter,1286.2,17
2026-08-01,West,Enterprise,8063.81,3
2026-08-01,West,Team,1931.9,9
2026-08-01,West,Starter,1040.48,18
2026-08-01,Central,Enterprise,3724.39,2
2026-08-01,Central,Team,1684.31,9
2026-08-01,Central,Starter,698.82,15
2026-08-02,East,Enterprise,8470.38,3
2026-08-02,East,Team,2905.39,12
2026-08-02,East,Starter,1306.75,19
2026-08-02,West,Enterprise,7422.65,3
2026-08-02,West,Team,2137.33,10
2026-08-02,West,Starter,1117.92,18
2026-08-02,Central,Enterprise,3893.88,2
2026-08-02,Central,Team,1754.85,9
2026-08-02,Central,Starter,621.57,13
2026-08-03,East,Enterprise,15436.82,4
2026-08-03,East,Team,6530.21,18
2026-08-03,East,Starter,2492.39,28
